연도,행사이름 - 날짜
2015,"서울대공원 봄꽃 축제 「봄, 꽃을 깨우다!」 - 2015.04.01 ~ 2015.05.06"
2015,"어린이날 행사 「동물과 함께하는 어린이 세상」 - 2015.05.05"
2015,"2015 서울대공원 장미원 축제 - 2015.05.23 ~ 2015.06.28"
2015,"서울대공원 「동물원 한가위 한마당」 - 2015.09.27 ~ 2015.09.29"
2015,"서울대공원 동물 서식지 문화 축제 - 2015.10.09 ~ 2015.10.25"
2016,"서울대공원 벚꽃축제 - 2016.04.08 ~ 2016.04.17"
2016,"어린이날 축제 「우당탕탕 동물원 놀이터」 - 2016.05.05"
2016,"제16회 서울대공원 장미원축제 - 2016.05.27 ~ 2016.06.12"
2016,"한가위 한마당 - 2016.09.15 ~ 2016.09.16"
2016,"호숫가 영화제 - 2016.09.17 ~ 2016.09.18"
2016,"가을축제 「동물원 속 미술관」 - 2016.10.08 ~ 2016.10.23"
2017,"서울대공원 벚꽃축제 - 2017.04.08 ~ 2017.04.12"
2017,"어린이날 행사 「어린이가 주(Zoo)인공」 - 2017.05.05"
2017,"2017 서울대공원 장미원 축제 - 2017.05.27 ~ 2017.06.11"
2017,"서울대공원 호숫가 영화제 - 2017.09.09 ~ 2017.09.10"
2017,"동물원 큰잔치 - 2017.10.04 ~ 2017.10.05"
2018,"서울대공원 벚꽃축제 - 2018.04.07 ~ 2018.04.22"
2018,"제96회 어린이날 기념 행사 - 2018.05.05"
2018,"2018 서울대공원 장미원축제 - 2018.05.26 ~ 2018.06.10"
2018,"호숫가 영화제 - 2018.09.08 ~ 2018.09.09"
2018,"가을축제 「동물원 속 미술관」 - 2018.10.09 ~ 2018.10.21"
2019,"서울대공원 벚꽃축제 「벚꽃만큼 사랑하나 봄」 - 2019.04.06 ~ 2019.04.21"
2019,"어린이날 행사 「서울대공원 어린이 세상」 - 2019.05.05"
2019,"서울대공원 장미원축제 - 2019.05.25 ~ 2019.06.09"
2019,"제4회 서울대공원 호숫가 영화제 - 2019.09.21 ~ 2019.09.22"
2020,"제5회 동물원 속 미술관 - 2020.12.03 ~ 2020.12.24"
2021,"신축년 맞이 야외조각 전시회 「해피 뉴 21」 - 2020.12.23 ~ 2021.04.30"
2021,"제6회 동물원 속 미술관 「모두의 동물원」 - 2021.12.10 ~ 2022.02.27"
2022,"서울대공원 꽃의 숲 산책 - 2022.04.01 ~ 2022.04.30"
2022,"정원문화행사 「일상다,정원」 - 2022.05.28 ~ 2022.06.12"
2022,"제5회 서울대공원 「호숫가영화제」 - 2022.09.11 ~ 2022.09.12"
2022,"숲 속 콘서트 - 2022.10.08 ~ 2022.10.30"
2023,"서울대공원 벚꽃축제 「다시 만나 봄」 - 2023.04.05 ~ 2023.04.09"
2023,"어린이날 기념 행사 「꿈꾸는 대공원」 - 2023.05.07"
2023,"제23회 장미원축제 - 2023.05.26 ~ 2023.06.04"
2023,"여름숲 하이킹 - 2023.07.08 ~ 2023.07.09"
2023,"제17회 서울대공원 식충식물 전시회 - 2023.08.01 ~ 2023.08.20"
2023,"제6회 서울대공원 영화제 - 2023.09.23 ~ 2023.09.24"
2023,"제8회 「동물원 밖 동물원」 - 2023.10.14 ~ 2023.10.29"
2023,"가을 호수 한 바퀴 - 2023.11.11 ~ 2023.11.12"
2024,"서울대공원 벚꽃축제 「40년 아름드리 벚꽃 숲, 같이 걸을래?」 - 2024.04.05 ~ 2024.04.07"
2024,"어린이날 기념행사 「안녕! 대공원」 - 2024.05.04 ~ 2024.05.06"
2024,"장미원축제 - 2024.05.24 ~ 2024.06.02"
2024,"서울대공원 영화제 「무비 인사이드」 - 2024.10.05 ~ 2024.10.06"
2024,"야외전시 「동물원 밖 동물원」 - 2024.10.26 ~ 2024.11.16"
2025,"벚꽃축제 「우리가 사랑한 봄, 꽃」 - 2025.04.04 ~ 2025.04.06"
2025,"어린이날 기념행사 「모여라! 대공원」 - 2025.05.04 ~ 2025.05.05"
2025,"장미원·식물원 축제 「장미, 정원을 품다」 - 2025.05.31 ~ 2025.06.08"
